id,english,language,pronunciation,description,category,type,image
2060,(erg: wuna-ju) slowly,wunay,,,,adverb,
2061,move slowly,wunaybi,,,,intransitive,
2062,porcupine (a skin group),wun.gu,,,,noun,
2063,an imaginary hairy man who i believed to live in lava area,wun.gumali,,,,noun,
2064,place along waterfall creek,wunubu,,,,noun,
2065,(loc: wunyurr-a) bushy country on herbert river,wunyurr,,,,noun,
2066,"centre, middle",wura,,,,noun,
2067,"second (e.g. second place in a race, etc.)",wuraguman,,,,,
2068,"(the one) in the middle or centre, second (one), middle (one)",wuramali,,,,"adjective, adverb",
2069,middle finger,wuranyiriny,,,,noun,
2070,be in (the centre of) a mob,wurawubi,,,,intransitive,
2071,(erg: wura-ju quiet good?,wuray,,,,"adjective, adverb",
2072,topknot pigeon,wurguju,,,,noun,
2073,"the day before yesterday, the night before, a couple of days ago",wurgulu,,,,adverb,
2074,bee,wurgun,,,,noun,
2075,son-in-law (it does not take the kinship suffix -na.),wuribu,,,,noun,
2076,barramundi,wurijala,,,,noun,
2077,noise,warralbara,,,,noun,
2078,noise,wurranu,,,,noun,
2079,"native bee (sugar bag bee) (bigger than wajan, with beard)",wurriba,,,,noun,
2080,brown lizrad (as big as blue tongue lizard),wurrmba,,,,noun,
2081,bark (of dog),wurrnggu,,,,transitive,
2082,bushy country on herbert river,wurrngul,,,,noun,
2083,place (harding paddock?) near ravenshoe,wurrubulan,,,,noun,
2084,"(1) beef wood, (2) bark billy can, water carrier, baby carrier made of the tree ",wurun,,,,noun,
2085,water or baby carrier (bark billy can),wurunbara,,,,noun,
2086,type of fish,wuruyan,,,,noun,
2087,oh !,wuwu,,,,interj,
2088,five mile creek in the bush near Abergowrie,wuwujul,,,,noun,
2089,call to someon in the distance,wuwuy,,,,interj,
2090,bora tree,wuyagun,,,,noun,
2091,(jalnguy?) give. Cf. guyba throw,wuyba,,,,transitive,
2092,cypress pine,wuybiral,,,,noun,
2093,(jalnguy?) eat ,wuyja,,,,transitive,
2094,lick,wuymbi,,,,transitive,
2095,"summer, begining of summer",wuyulu,,,,noun,
2096,yes.',yaa,,,,interj,
2097,flat,yabala,,,,adjective,
2098,be/become flat,yabalabi,,,,intransitive,
2099,make flat or smooth,yabalanga,,,,transitive,
2100,spread,yabanda,,,,transitive,
2101,(loc: yabandany-ja) bed made of grass,yabanday,,,,n.II,
2102,open legs for inercourse (of woman),yabarrbi,,,,intransitive,
2103,as above,yabarri,,,,intransitive,
2104,thumb,yabu,,,,noun,
2105,younger brother,yabujana,,,,noun,
2106,evening star,yabulga,,,,noun,
2107,stingray (edible),yadar,,,,noun,
2108,pandanus,yagal,,,,noun,
2109,place near ingham,yagal,,,,noun,
2110,Ouch !' ,yagay,,,,interj,
2111,scream,yagaybi,,,,intransitive,
2112,make.. scream ort shout,yagaynga,,,,transitive,
2113,split. (?) board,yagi,,,,"adjective, noun",
2114,"split, open. spead",yagibara,,,,"adjective, transitive",
2115,split,yagibaranga,,,,transitive,
2116,split, make board,yaginga,,,,
2117,(1) grass (2) small kangaroo grass ( as aopposed to gajan ),yagu,,,,noun,
2118,place near innot hot springs on herbert river,yagubarra,,,,noun,
2119,a place along  herbert river west of cashmere in the direct of Mt. suprise),yaagubulan,,,,noun,
2120,person(s) of yagubulan,yagubulanbarra,,,,noun,
2121,"slow, ""take time"". later, by and by, for a while",yaja,,,,"adjective, adverb",
2122,laugh,yaji,,,,intransitive,
2123,(loc: yalarany-ja) Mt. Fox Hill,yalaray,,,,n.II,
2124,flat,yalbarra,,,,adjective,
2125,"road, track. on the road",yalga,,,,"noun, adverb",
2126,make road,yalganga,,,,transitive,
2127,noise which is made when one walks on grass or releases urine,yalgarra,,,,noun,
2128,"(yalgany-ja) road, track",yalgay,,,,n.II,
2129,single man (either bachelor or widower),yalnggay,,,,noun,
2130,single man  ,yalnggaybara,,,,noun,
2131,single woman,yalnggaynggan,,,,noun,
2132,"many crowd, big mob",yalnyjabara,,,,"noun, adjective",
2133,do somthing in large numbers,yalnyjabarabi,,,,intransitive,
2134,"likewise, like this/that, in such a way",yama,,,,adverb,
2135,"(not warrungu?) tell, say",yama,,,,transitive,
2136,"now, just now",yama=rru,,,,adverb,
2137,sneak up ,yama-yani,,,,intransitive,
2138,do or be/come like this/that,yamabi,,,,intransitive,
2139,"(1) do so, to so, make... like this/that, (2) name, call",yamanga,,,,transitive,
2140,do like that,yamangali,,,,intransitive,
2141,now ,yamangarru,,,,adverb,
2142,"(1) rainbow, (2) the name of a gigantic eel in myth",yamani,,,,noun,
2143,similar,yamanyun,,,,adjective,
2144,"be/become similar, do/be like that",yamanyunbi,,,,intransitive,
2145,"like this and like that, all the time, all the way, with no spell",yama=rru yam=rru,,,,adverb,
2146,"house, humpy, camp, country, place",yamba,,,,noun,
2147,peerson(s) of this camp,yambabarra,,,,noun,
2148,differnt place or camp,yambaguman,,,,noun,
2149,"to every camp, to every house",yambaguman.guman-gu,,,, ,
2150,"[someone] become young again, [person A] make person B be inlove with person A",yambalbi,,,,intransitive,
2151,fly (of bird),yambi,,,,intransitive,
2152,fly about ???,yambirra,,,,intransitive,
2153,be in a hurry,yamurrbi,,,,intransitive,
2154,be in a hurry,yamurryamurri,,,,intransitive,
2155,long spear,yanbara,,,,noun,
2156,very ??? ,yanga,,,,adverb,
2157,mother,yanga,,,,kinship noun,
2158,"long, tall",yangabara,,,,adjective,
2159,become long,yangabarabi,,,,intransitive,
2160,two long or tall (ones),yangabarajarran,,,,noun,
2161,make long/longer,yangabaranga,,,,transitive,
2162,stepmother,yangaguman,,,,noun,
2163,lots or yanga,yangaguway,,,,noun,
2164,mother,yangana,,,,kinship noun,
2165,yes,yangaya,,,,interj,
2166,"search, look for",yangga,,,,transitive,
2167,place on the way to ganggarabarra,yanggarrji,,,,noun,
2168,wild fig in the scrub (black and sweet),yanggi,,,,noun,
2169,"go, come",yani,,,,intransitive,
2170,walk about,yanira,,,,intransitive,
2171,"go with [someone], go with [a bag, etc.], go on [a road]",yaniri,,,,transitive,
2172,(all) have gone,yaniya,,,,intransitive,
2173,side ,yari,,,,noun,
2174,there ,yarra,,,,adverb,
2175,chest,yarra,,,,noun,
2176,bend down,yarra,,,,transitive,
2177,horse,yarraman,,,,noun,
2178,(jalnguy? only used in songs) see (in the distance),yarrambila,,,,transitive,
2179,(jalnguy? only used in songs) look,yarraymala,,,,transitive,
2180,(jalnguy?) look ,yarrimbala,,,,transitive,
2181,"this/these, here, now",yarru,,,,adverb,
2182,near by,yarru=rru yarru=rru,,,,adverb,
2183,to or on this side ,yarrumali,,,,adverb,
2184,"this/these, here, now",yarrumara,,,,adverb,
2185,"[send, etc.] here/ hither",yarrunga,,,,transitive,
2186,to this way (direction),yarrungal,,,,adverb,
2187,"send.. here, pull ",yarrungunga,,,,transitive,
2188,(jalnguy?) this ?,yaru,,,,dem,
2189,"like that, now",yawa,,,,adverb,
2190,place on herbert river in warrgamay country,yawa,,,,noun,
2191,"make.. like that, rumor, evaluate [someone]",yawanga,,,,transitive,
2192,spread,yawaranga,,,,transitive,
2193,spread,yawura (yawara?),,,,transitive,
2194,old male kangaroo,yawuymbarri,,,,noun,
2195,exclamation of suprise or fright,yayi,,,,interj,
2196,spread,yayimi (or yaymi?),,,,transitive,
2197,be stuck,yiba,,,,intransitive,
2198,dream,yibirra,,,,"verb, noun",
2199,dream,yibirrayibirrabi,,,,intransitive,
2200,dreaming,yibirrayibirrayi or yibirrayibirray?,,,,adjective,
2201,dreaming,yibirrayiyibirrayi,,,,adjective,
2202,"the yidiny language, yidiny person(s)",yidiny,,,,noun,
2203,"the yidiny language, yidiny person(s)",yidinyji,,,,noun,
2204,fresh water lobster,yigarra,,,,noun,
2205,scorpion (=gaji cli 'counterfactual'. simply means '[this] looks like a fresh water lobster.',yigarra=gaji,,,,noun,
2206,scorpion,yigarrayyigarra,,,,noun,
2207,"an ornament around the neck made of possum fur, which men who have gone through the second stage of buramu (initiation?) wear",yijaga,,,,noun,
2208,"(1) feather, wing, (2) one of the stages of the growth of a grub, in which it has wings and lays eggs",yila,,,,noun,
2209,the name of a song,yilagirri,,,,noun,
2210,feathers of (white or black) cockatoo,yilan,,,,noun,
2211,bushy country on the herbert river,yilbiny,,,,noun,
2212,"pull out, drag",yilmbu,,,,transitive,
2213,pull ... with ... ,yilmburi,,,,transitive,
2214,"put on or wear [clothes, shoes, hats etc.]",yimba,,,,transitive,
2215,"be glad, want someone to do ...",yimirri,,,,intransitive,
2216,glad and smiling,yimirryimirr,,,,adjective,
2217,be glad and smiling ,yimirryimirrbi,,,,intransitive,
2218,be glad and smiling ,yimirryimirri,,,,intransitive,
2219,place on herbert river near abergowrie,yimun,,,,noun,
2220,person(s) of yimun,yimunbarra,,,,noun,
2221,you one,yinda,,,,pronoun,
2222,niece, daughter (as from mother),yindala,,,,
2223,niece, daughter (as from mother),yindali,,,,
2224,fin of a fish,yindil,,,,noun,
2225,(jalnguy?) somewhere here,yindu,,,,adverb,
2226,make [someone/something] yours ,yinunga,,,,transitive,
2227,give or send to you,yinungun.gunga,,,,transitive,
2228,comb [hair],yira,,,,transitive,
2229,place on herbert river  ,yiranbarra,,,,noun,
2230,place on herbert river on kirrama scrub,yirrabayan,,,,noun,
2231,"place on herbert river on kirrama road, where there was an old fighting ground",yirrambulan,,,,noun,
2232,(jalnguy) on or to this side  ,yirraymali,,,,adverb,
2233,person(s) of the north,yirrganyji,,,,noun,
2234,person(s) of the north,yirrganyjibarra,,,,noun,
2235,blue gum tree ,yirribara,,,,noun,
2236,any little star,yirriginyjara,,,,noun,
2237,"(1) dragonfly, hourse stinger, (2) place between chashmere and gunawarra",yirrinyjila,,,,noun,
2238,"yes, well",yiwu,,,,interj,
2239,"(1) shake, (2) spread",yiya,,,,transitive,
2240,"yes, well",yiyi,,,,interj,
2241,you two,yubala,,,,pronoun,
2242,"run away, escape",yubarri,,,,intransitive,
2243,"steal [woman, etc.] ",yubaynga,,,,transitive,
2244,swim,yudi,,,,intransitive,
2245,"make [someone] swim, carry [cattle, etc.] on a boat across the river",yudinga,,,,transitive,
2246,place next to jalbar,yudirri,,,,noun,
2247,(jalnguy or girramay ?) rain,yugan,,,,noun,
2248,(jalnguy?) steal,yulaynga,,,,transitive,
2249,middle finger,yulba,,,,noun,
2250,body,yumal,,,,noun,
2251,(class II? yumany-ju) slow(ly),yunay,,,,"adjective, adverb",
2252,"small, flying squirrel (lives in a mob on the coast)",yundadyunda,,,,noun,
2253,"skin, hide, palm, sole, fur, bark (of tree)",yungga,,,,noun,
2254,tiger snake,yunggubala,,,,noun,
2255,"(1) put [part of somthing, not the whole] in the water (not soak), (2) poke, protrude (tongue out of mouth, e.g. of a snake)",yura,,,,transitive,
2256,"right hand, big river",yuralbarra,,,,noun,
2257,(jalnguy) big river,yuramu,,,,noun,
2258,"(erg: yura-ju) quiet(lu), not making noise",yuray,,,,"adjective, adverb",
2259,quiet,yurayyuray,,,,"adjective, adverb",
2260,"be quiet, do quietly",yurayyuraybi,,,,intransitive,
2261,kangaroo,yuri,,,,noun,kangaroo.jpg
2262,you three or more,yurra,,,,pronoun,
2263,bend down,yurra,,,,intransitive,
2264,suck,yurrmbi,,,,transitive,
2265,yamani creek,yurruymbi,,,,noun,
2266,suck,yurruymbi,,,,transitive,
2267,hello !',yuwu,,,,interj,
2268,"ok, all right",yuwuway,,,,interj,
2269,ok ,yuwuy,,,,interj,
