,,,,,,,,
e,Translation,Pronunciation,Description,Category,Word type,Image,Audio,Widget
bee,wurgun,,,,noun,,,
son-in-law (it does not take the kinship suffix -na.),wuribu,,,,noun,,,
barramundi,wurijala,,,,noun,,,
noise,warralbara,,,,noun,,,
noise,wurranu,,,,noun,,,
"native bee (sugar bag bee) (bigger than wajan, with beard)",wurriba,,,,noun,,,
brown lizrad (as big as blue tongue lizard),wurrmba,,,,noun,,,
bark (of dog),wurrnggu,,,,transitive,,,
bushy country on herbert river,wurrngul,,,,noun,,,
place (harding paddock?) near ravenshoe,wurrubulan,,,,noun,,,
"(1) beef wood, (2) bark billy can, water carrier, baby carrier made of the tree ",wurun,,,,noun,,,
water or baby carrier (bark billy can),wurunbara,,,,noun,,,
type of fish,wuruyan,,,,noun,,,
oh !,wuwu,,,,interj,,,
five mile creek in the bush near Abergowrie,wuwujul,,,,noun,,,
call to someon in the distance,wuwuy,,,,interj,,,
bora tree,wuyagun,,,,noun,,,
(jalnguy?) give. Cf. guyba throw,wuyba,,,,transitive,,,
cypress pine,wuybiral,,,,noun,,,
(jalnguy?) eat ,wuyja,,,,transitive,,,
lick,wuymbi,,,,transitive,,,
"summer, begining of summer",wuyulu,,,,noun,,,
,,,,, ,,,
,YA,,,, ,,,
yes.',yaa,,,,interj,,,
flat,yabala,,,,adjective,,,
be/become flat,yabalabi,,,,intransitive,,,
make flat or smooth,yabalanga,,,,transitive,,,
spread,yabanda,,,,transitive,,,
(loc: yabandany-ja) bed made of grass,yabanday,,,,n.II,,,
open legs for inercourse (of woman),yabarrbi,,,,intransitive,,,
as above,yabarri,,,,intransitive,,,
thumb,yabu,,,,noun,,,
younger brother,yabujana,,,,noun,,,
evening star,yabulga,,,,noun,,,
stingray (edible),yadar,,,,noun,,,
pandanus,yagal,,,,noun,,,
place near ingham,yagal,,,,noun,,,
Ouch !' ,yagay,,,,interj,,,
scream,yagaybi,,,,intransitive,,,
make.. scream ort shout,yagaynga,,,,transitive,,,
split. (?) board,yagi,,,,"adjective, noun",,,
"split, open. spead",yagibara,,,,"adjective, transitive",,,
split,yagibaranga,,,,transitive,,,
split; make board,yaginga,,,,transitive,,,
(1) grass (2) small kangaroo grass ( as aopposed to gajan ),yagu,,,,noun,,,
place near innot hot springs on herbert river,yagubarra,,,,noun,,,
a place along  herbert river west of cashmere in the direct of Mt. suprise),yaagubulan,,,,noun,,,
person(s) of yagubulan,yagubulanbarra,,,,noun,,,
"slow, ""take time"". later, by and by, for a while",yaja,,,,"adjective, adverb",,,
laugh,yaji,,,,intransitive,,,
(loc: yalarany-ja) Mt. Fox Hill,yalaray,,,,n.II,,,
flat,yalbarra,,,,adjective,,,
"road, track. on the road",yalga,,,,"noun, adverb",,,
make road,yalganga,,,,transitive,,,
noise which is made when one walks on grass or releases urine,yalgarra,,,,noun,,,
"(yalgany-ja) road, track",yalgay,,,,n.II,,,
single man (either bachelor or widower),yalnggay,,,,noun,,,
single man  ,yalnggaybara,,,,noun,,,
single woman,yalnggaynggan,,,,noun,,,
"many crowd, big mob",yalnyjabara,,,,"noun, adjective",,,
do somthing in large numbers,yalnyjabarabi,,,,intransitive,,,
"likewise, like this/that, in such a way",yama,,,,adverb,,,
"(not warrungu?) tell, say",yama,,,,transitive,,,
"now, just now",yama=rru,,,,adverb,,,
sneak up ,yama-yani,,,,intransitive,,,
do or be/come like this/that,yamabi,,,,intransitive,,,
"(1) do so, to so, make... like this/that, (2) name, call",yamanga,,,,transitive,,,
do like that,yamangali,,,,intransitive,,,
now ,yamangarru,,,,adverb,,,
"(1) rainbow, (2) the name of a gigantic eel in myth",yamani,,,,noun,,,
similar,yamanyun,,,,adjective,,,
"be/become similar, do/be like that",yamanyunbi,,,,intransitive,,,
"like this and like that, all the time, all the way, with no spell",yama=rru yam=rru,,,,adverb,,,
"house, humpy, camp, country, place",yamba,,,,noun,,,
peerson(s) of this camp,yambabarra,,,,noun,,,
differnt place or camp,yambaguman,,,,noun,,,
"to every camp, to every house",yambaguman.guman-gu,,,, ,,,
"[someone] become young again, [person A] make person B be inlove with person A",yambalbi,,,,intransitive,,,
fly (of bird),yambi,,,,intransitive,,,
fly about ???,yambirra,,,,intransitive,,,
be in a hurry,yamurrbi,,,,intransitive,,,
be in a hurry,yamurryamurri,,,,intransitive,,,
long spear,yanbara,,,,noun,,,
very ??? ,yanga,,,,adverb,,,
mother,yanga,,,,kinship noun,,,
"long, tall",yangabara,,,,adjective,,,
become long,yangabarabi,,,,intransitive,,,
two long or tall (ones),yangabarajarran,,,,noun,,,
make long/longer,yangabaranga,,,,transitive,,,
stepmother,yangaguman,,,,noun,,,
lots or yanga,yangaguway,,,,noun,,,
mother,yangana,,,,kinship noun,,,
yes,yangaya,,,,interj,,,
"search, look for",yangga,,,,transitive,,,
place on the way to ganggarabarra,yanggarrji,,,,noun,,,
wild fig in the scrub (black and sweet),yanggi,,,,noun,,,
"go, come",yani,,,,intransitive,,,
walk about,yanira,,,,intransitive,,,
"go with [someone], go with [a bag, etc.], go on [a road]",yaniri,,,,transitive,,,
(all) have gone,yaniya,,,,intransitive,,,
side ,yari,,,,noun,,,
there ,yarra,,,,adverb,,,
chest,yarra,,,,noun,,,
bend down,yarra,,,,transitive,,,
horse,yarraman,,,,noun,,,
(jalnguy? only used in songs) see (in the distance),yarrambila,,,,transitive,,,
(jalnguy? only used in songs) look,yarraymala,,,,transitive,,,
(jalnguy?) look ,yarrimbala,,,,transitive,,,
"this/these, here, now",yarru,,,,adverb,,,
near by,yarru=rru yarru=rru,,,,adverb,,,
to or on this side ,yarrumali,,,,adverb,,,
"this/these, here, now",yarrumara,,,,adverb,,,
"[send, etc.] here/ hither",yarrunga,,,,transitive,,,
to this way (direction),yarrungal,,,,adverb,,,
"send.. here, pull ",yarrungunga,,,,transitive,,,
(jalnguy?) this ?,yaru,,,,dem,,,
"like that, now",yawa,,,,adverb,,,
place on herbert river in warrgamay country,yawa,,,,noun,,,
"make.. like that, rumor, evaluate [someone]",yawanga,,,,transitive,,,
spread,yawaranga,,,,transitive,,,
spread,yawura (yawara?),,,,transitive,,,
old male kangaroo,yawuymbarri,,,,noun,,,
exclamation of suprise or fright,yayi,,,,interj,,,
spread,yayimi (or yaymi?),,,,transitive,,,
,,,,, ,,,
,YI,,,, ,,,
be stuck,yiba,,,,intransitive,,,
dream,yibirra,,,,"verb, noun",,,
dream,yibirrayibirrabi,,,,intransitive,,,
dreaming,yibirrayibirrayi or yibirrayibirray?,,,,adjective,,,
dreaming,yibirrayiyibirrayi,,,,adjective,,,
"the yidiny language, yidiny person(s)",yidiny,,,,noun,,,
"the yidiny language, yidiny person(s)",yidinyji,,,,noun,,,
fresh water lobster,yigarra,,,,noun,,,
scorpion (=gaji cli 'counterfactual'. simply means '[this] looks like a fresh water lobster.',yigarra=gaji,,,,noun,,,
scorpion,yigarrayyigarra,,,,noun,,,
"an ornament around the neck made of possum fur, which men who have gone through the second stage of buramu (initiation?) wear",yijaga,,,,noun,,,
"(1) feather, wing, (2) one of the stages of the growth of a grub, in which it has wings and lays eggs",yila,,,,noun,,,
the name of a song,yilagirri,,,,noun,,,
feathers of (white or black) cockatoo,yilan,,,,noun,,,
bushy country on the herbert river,yilbiny,,,,noun,,,
"pull out, drag",yilmbu,,,,transitive,,,
pull ... with ... ,yilmburi,,,,transitive,,,
"put on or wear [clothes, shoes, hats etc.]",yimba,,,,transitive,,,
"be glad, want someone to do ...",yimirri,,,,intransitive,,,
glad and smiling,yimirryimirr,,,,adjective,,,
be glad and smiling ,yimirryimirrbi,,,,intransitive,,,
be glad and smiling ,yimirryimirri,,,,intransitive,,,
place on herbert river near abergowrie,yimun,,,,noun,,,
person(s) of yimun,yimunbarra,,,,noun,,,
you one,yinda,,,,pronoun,,,
niece; daughter (as from mother),yindala,,,,noun,,,
niece; daughter (as from mother),yindali,,,,noun,,,
fin of a fish,yindil,,,,noun,,,
(jalnguy?) somewhere here,yindu,,,,adverb,,,
make [someone/something] yours ,yinunga,,,,transitive,,,
give or send to you,yinungun.gunga,,,,transitive,,,
comb [hair],yira,,,,transitive,,,
place on herbert river  ,yiranbarra,,,,noun,,,
place on herbert river on kirrama scrub,yirrabayan,,,,noun,,,
"place on herbert river on kirrama road, where there was an old fighting ground",yirrambulan,,,,noun,,,
(jalnguy) on or to this side  ,yirraymali,,,,adverb,,,
person(s) of the north,yirrganyji,,,,noun,,,
person(s) of the north,yirrganyjibarra,,,,noun,,,
blue gum tree ,yirribara,,,,noun,,,
any little star,yirriginyjara,,,,noun,,,
"(1) dragonfly, hourse stinger, (2) place between chashmere and gunawarra",yirrinyjila,,,,noun,,,
"yes, well",yiwu,,,,interj,,,
"(1) shake, (2) spread",yiya,,,,transitive,,,
"yes, well",yiyi,,,,interj,,,
,,,,, ,,,
,YU,,,, ,,,
you two,yubala,,,,pronoun,,,
"run away, escape",yubarri,,,,intransitive,,,
"steal [woman, etc.] ",yubaynga,,,,transitive,,,
swim,yudi,,,,intransitive,,,
"make [someone] swim, carry [cattle, etc.] on a boat across the river",yudinga,,,,transitive,,,
place next to jalbar,yudirri,,,,noun,,,
(jalnguy or girramay ?) rain,yugan,,,,noun,,,
(jalnguy?) steal,yulaynga,,,,transitive,,,
middle finger,yulba,,,,noun,,,
body,yumal,,,,noun,,,
(class II? yumany-ju) slow(ly),yunay,,,,"adjective, adverb",,,
"small, flying squirrel (lives in a mob on the coast)",yundadyunda,,,,noun,,,
"skin, hide, palm, sole, fur, bark (of tree)",yungga,,,,noun,,,
tiger snake,yunggubala,,,,noun,,,
"(1) put [part of somthing, not the whole] in the water (not soak), (2) poke, protrude (tongue out of mouth, e.g. of a snake)",yura,,,,transitive,,,
"right hand, big river",yuralbarra,,,,noun,,,
(jalnguy) big river,yuramu,,,,noun,,,
"(erg: yura-ju) quiet(lu), not making noise",yuray,,,,"adjective, adverb",,,
quiet,yurayyuray,,,,"adjective, adverb",,,
"be quiet, do quietly",yurayyuraybi,,,,intransitive,,,
kangaroo,yuri,,,,noun,,,
you three or more,yurra,,,,pronoun,,,
bend down,yurra,,,,intransitive,,,
suck,yurrmbi,,,,transitive,,,
yamani creek,yurruymbi,,,,noun,,,
suck,yurruymbi,,,,transitive,,,
hello !',yuwu,,,,interj,,,
"ok, all right",yuwuway,,,,interj,,,
ok ,yuwuy,,,,interj,,,
